,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,on_check,laboriousness,loading_datetime
163,6970,13306,Разработка программного обеспечения / Software Engineering,2020,master,15735,Прикладная математика и информатика,01.04.02,,in_work,132,2023-10-05 16:41:11.059678
164,6971,13342,Квантовые и гибридные материалы,2020,master,15759,Фотоника и оптоинформатика,12.04.03,,in_work,135,2023-10-05 16:41:14.473050
165,6972,13270,Мобильные и сетевые технологии,2020,bachelor,15740,Прикладная информатика,09.03.03,,in_work,490,2023-10-05 16:41:20.783025
166,6973,14671,ФудТех / Foodtech,2021,master,15783,Биотехнология,19.04.01,,in_work,247,2023-10-05 16:41:23.426019
167,6974,14639,Инфохимия / Infochemistry,2021,master,15778,Химическая технология,18.04.01,,in_work,144,2023-10-05 16:41:24.842236
168,6975,13359,Световодная фотоника и программируемая электроника,2020,master,15774,Техническая физика,16.04.01,,in_work,159,2023-10-05 16:41:28.694905
169,6976,13377,Инновационная экономика и отраслевое регулирование,2020,master,15803,Экономика,38.04.01,,in_work,135,2023-10-05 16:41:32.311217
170,6977,13371,Инновационное предпринимательство,2020,master,15798,Инноватика,27.04.05,,in_work,267,2023-10-05 16:41:37.756004
171,6981,13344,Информационные системы для экологической и техносферной безопасности,2020,master,15786,Техносферная безопасность,20.04.01,,in_work,135,2023-10-05 16:41:41.106374
172,6982,13311,Городское планирование и городской дизайн,2020,master,15810,Градостроительство,07.04.04,,in_work,140,2023-10-05 16:41:44.630431
173,6983,13382,"Анализ культурных данных и визуализация/ Data, Culture and Visualization",2020,master,15807,Интеллектуальные системы в гуманитарной среде,45.04.04,,in_work,137,2023-10-05 16:41:48.382895
174,6984,13321,Робототехника,2020,master,15771,Мехатроника и робототехника,15.04.06,,in_work,264,2023-10-05 16:41:52.582816
175,6985,13379,Цифровая трансформация организаций,2020,master,15804,Бизнес-информатика,38.04.05,,in_work,166,2023-10-05 16:41:56.019973
176,6986,13282,Нейротехнологии и программирование,2020,bachelor,15741,Программная инженерия,09.03.04,,in_work,539,2023-10-05 16:42:02.783705
177,6987,13297,Системное и прикладное программное обеспечение,2020,bachelor,15741,Программная инженерия,09.03.04,,in_work,511,2023-10-05 16:42:09.587529
178,6988,13381,Урбанистика,2020,master,15799,Наукоемкие технологии и экономика инноваций,27.04.07,,in_work,160,2023-10-05 16:42:13.213303
179,6989,13361,Биотехнология продуктов функционального назначения,2020,master,15783,Биотехнология,19.04.01,,in_work,154,2023-10-05 16:42:16.773092
180,6990,13307,Информационные системы бизнеса,2020,master,15744,Прикладная информатика,09.04.03,,in_work,168,2023-10-05 16:42:21.630637
181,6991,13383,Световой дизайн,2020,master,15799,Наукоемкие технологии и экономика инноваций,27.04.07,,in_work,138,2023-10-05 16:42:25.012323
182,6992,13337,Качество и безопасность пищевых продуктов,2020,master,15784,Продукты питания из растительного сырья,19.04.02,,in_work,150,2023-10-05 16:42:28.670736
183,6993,13370,Искусство и наука / Art & Science,2020,master,15798,Инноватика,27.04.05,,in_work,135,2023-10-05 16:42:32.121345
184,6994,13376,Инвестиции в технологическом секторе,2020,master,15798,Инноватика,27.04.05,,in_work,135,2023-10-05 16:42:35.700300
185,6995,13301,Биоинформатика и системная биология,2020,master,15735,Прикладная математика и информатика,01.04.02,,in_work,135,2023-10-05 16:42:39.146103
186,6996,13374,Наука и технологии в обществе,2020,master,15798,Инноватика,27.04.05,,in_work,135,2023-10-05 16:42:42.816924
